Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01266;Montrevel-en-Bresse;3;88.9;85.1;1.4
01267;Nurieux-Volognat;2.1;94.5;90.2;1.2
01268;Murs-et-Gélignieux;0;94.3;95.9;0
01269;Nantua;3.5;83.5;78.5;1.3
01272;Neuville-les-Dames;2.5;92.4;88.7;0.3
01273;Neuville-sur-Ain;2.4;97;89.5;0.5
01274;Les Neyrolles;1.6;92.3;91.3;1.6
01275;Neyron;8.2;96.2;79.5;4
01276;Niévroz;4.6;97.7;89.1;1.1
01277;Nivollet-Montgriffon;5.9;94.9;82.4;2
01279;Oncieu;4.9;88.9;87.8;0
01280;Ordonnaz;1.5;98.7;89.6;0
01281;Ornex;11.3;91.4;71.7;4.9
01282;Outriaz;0;91.4;82.5;2.5
01283;Oyonnax;4.1;79.2;80.9;1.1
01284;Ozan;0.3;97.1;91.5;1.4
01285;Parcieux;6.7;98.1;85.9;1.4
01286;Parves et Nattages;3.1;95.7;91.5;0
01288;Péron;4.6;96.5;86.2;1.7
01289;Péronnas;6.7;91.4;83.1;3.8
01290;Pérouges;9.1;92.3;79.2;1.5
01291;Perrex;0.5;98;92.6;0.7
01293;Peyriat;1.4;94;89.9;0
01294;Peyrieu;6.6;97.3;84.7;2.1
01295;Peyzieux-sur-Saône;3.8;98.4;90.7;0
01296;Pirajoux;1;98.9;94.9;0
01297;Pizay;9.8;97.2;85.3;0.5
01298;Plagne;1.5;96.6;97;0
01299;Le Plantay;7.6;96.8;81.3;0.4
01301;Polliat;2.5;94.8;90.6;0.7
01302;Pollieu;4.3;97.4;88.4;0
01303;Poncin;2.5;91.1;82.4;1.1
01304;Pont-d'Ain;4.9;92;86.2;1
01305;Pont-de-Vaux;1.4;82.5;77.9;3.2
01306;Pont-de-Veyle;14.1;91.2;76;1.7
01307;Port;2;93;81.7;2.3
01308;Pougny;11.5;95.8;78.1;1.8
01309;Pouillat;0;97.6;100;0
01310;Prémeyzel;3.5;100;77.2;1.8
01311;Prémillieu;4.8;95.2;66.7;4.8
01313;Prévessin-Moëns;9.7;95.2;72.5;8.9
01314;Priay;5.5;92.9;85.4;0.3
01317;Ramasse;1.3;95.6;94.8;0
01318;Rancé;3.4;98.3;90;0
01319;Relevant;4;98.9;85.8;0.9
01320;Replonges;2.4;95.9;91;0.8
01321;Revonnas;0.7;97.6;94;0.7
01322;Reyrieux;5.2;96.5;86.9;0.3
01323;Reyssouze;1;95.8;93.1;0.9
01325;Rignieux-le-Franc;10.6;96.8;83;0.2
01328;Romans;7.4;91.3;83;0.7
01329;Rossillon;1.6;96.3;89.1;0
01330;Ruffieu;1.4;94;84.1;0
01331;Saint-Alban;1.9;96.4;83.7;1.9
01332;Saint-André-de-Bâgé;2.5;96.9;92.8;0.3
01333;Saint-André-de-Corcy;12.9;93;76.5;0.9
01334;Saint-André-d'Huiriat;1.2;98.7;91.5;0.8
01335;Saint-André-le-Bouchoux;6.5;100;80;1.1
01336;Saint-André-sur-Vieux-Jonc;1.7;96.4;88.1;0.6
01337;Saint-Bénigne;2;95.7;90.5;1
01338;Groslée-Saint-Benoit;0.4;96.3;92.1;0.5
01339;Saint-Bernard;10.6;95.8;81.5;0.3
