Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
01385;Saint-Rémy;407;27430
01386;Saint-Sorlin-en-Bugey;491;26690
01387;Saint-Sulpice;90;23240
01388;Saint-Trivier-de-Courtes;470;21030
01389;Saint-Trivier-sur-Moignans;765;23920
01390;Saint-Vulbas;476;24750
01391;Salavre;146;22940
01392;Samognat;263;27660
01393;Sandrans;219;25970
01396;Sault-Brénaz;436;21130
01397;Sauverny;376;41070
01398;Savigneux;560;26370
01399;Ségny;850;42330
01400;Seillonnaz;60;22970
01401;Sergy;765;42940
01402;Sermoyer;305;22230
01403;Serrières-de-Briord;570;22690
01404;Serrières-sur-Ain;68;23640
01405;Servas;509;22670
01406;Servignat;76;23480
01407;Seyssel;434;23780
01408;Simandre-sur-Suran;280;23210
01410;Sonthonnax-la-Montagne;131;27530
01411;Souclin;121;24340
01412;Sulignat;234;24630
01415;Talissieu;198;23340
01416;Tenay;433;20410
01418;Thil;411;30620
01419;Thoiry;2303;38950
01420;Thoissey;788;20430
01421;Torcieu;318;22620
01422;Tossiat;566;26180
01423;Toussieux;435;27870
01424;Tramoyes;658;31610
01425;La Tranclière;123;25050
01426;Val-Revermont;1058;24280
01427;Trévoux;2941;23920
01428;Valeins;44;23780
01429;Vandeins;288;24170
01430;Varambon;263;23800
01431;Vaux-en-Bugey;532;25240
01432;Verjon;150;23640
01433;Vernoux;100;20450
01434;Versailleux;176;25730
01435;Versonnex;798;38970
01436;Vesancy;197;45200
01437;Vescours;91;23090
01439;Vésines;N/A - résultat non disponible;N/A - résultat non disponible
01441;Vieu-d'Izenave;275;23450
01443;Villars-les-Dombes;2154;24480
01444;Villebois;536;22700
01445;Villemotier;246;23580
01446;Villeneuve;598;26440
01447;Villereversure;566;23600
01448;Villes;155;30500
01449;Villette-sur-Ain;299;26020
01450;Villieu-Loyes-Mollon;1488;26810
01451;Viriat;2762;25470
01452;Virieu-le-Grand;470;20600
01453;Arvière-en-Valromey;312;22830
01454;Virignin;434;24130
01456;Vongnes;N/A - résultat non disponible;N/A - résultat non disponible
01457;Vonnas;1369;22000
02001;Abbécourt;192;21150
02002;Achery;247;22340
02003;Acy;421;23020
02004;Agnicourt-et-Séchelles;78;20880
02005;Aguilcourt;154;24020
02006;Aisonville-et-Bernoville;116;21910
02007;Aizelles;45;22340
02008;Aizy-Jouy;117;21950
02009;Alaincourt;197;22980
02010;Allemant;64;21980
02011;Ambleny;486;24380
02012;Ambrief;N/A - résultat non disponible;N/A - résultat non disponible
02013;Amifontaine;151;23230
02014;Amigny-Rouy;294;23040
02015;Ancienville;N/A - résultat non disponible;N/A - résultat non disponible
02016;Andelain;86;21900
02017;Anguilcourt-le-Sart;115;21630
02018;Anizy-le-Grand;1088;20610
02019;Annois;157;21860
02020;Any-Martin-Rieux;180;19970
02021;Archon;N/A - résultat non disponible;N/A - résultat non disponible
02022;Arcy-Sainte-Restitue;165;23140
02023;Armentières-sur-Ourcq;43;22610
02024;Arrancy;N/A - résultat non disponible;N/A - résultat non disponible
02025;Artemps;131;23930
02027;Assis-sur-Serre;94;19990
02028;Athies-sous-Laon;1101;22820
02029;Attilly;141;24790
02030;Aubencheul-aux-Bois;110;22440
02031;Aubenton;279;18600
02032;Aubigny-aux-Kaisnes;98;20000
02033;Aubigny-en-Laonnois;48;26440
02034;Audignicourt;44;21270
02035;Audigny;95;19950
02036;Augy;N/A - résultat non disponible;N/A - résultat non disponible
02037;Aulnois-sous-Laon;544;21970
02038;Les Autels;N/A - résultat non disponible;N/A - résultat non disponible
02039;Autremencourt;58;20530
02040;Autreppes;65;21270
02041;Autreville;352;23160
02042;Azy-sur-Marne;158;23970
02043;Bagneux;N/A - résultat non disponible;N/A - résultat non disponible
02044;Bancigny;N/A - résultat non disponible;N/A - résultat non disponible
02046;Barenton-Bugny;240;23250
02047;Barenton-Cel;47;23580
02048;Barenton-sur-Serre;54;22840
02049;Barisis-aux-Bois;313;23500
