Insee - Statistiques locales; ; ; 
Référentiel géographique : France par intercommunalité; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2021;Densité de population (historique depuis 1876) 2021
200066827;Communauté de communes du Pays de Honfleur-Beuzeville;27116;139.7
200066835;Communauté de communes de Sézanne-Sud Ouest Marnais;21079;27.7
200066850;Communauté de communes des Paysages de la Champagne;20818;35.8
200066868;Communauté de communes Presqu'île de Crozon-Aulne maritime;22430;79.8
200066876;Communauté d'agglomération de Châlons-en-Champagne;78998;97.5
200066884;Communauté de communes Quercy Vert-Aveyron;22766;67.6
200066892;Communauté de communes de Vendeuvre-Soulaines;7439;16.6
200066918;Communauté d'agglomération Alès Agglomération;134056;145.6
200066926;Communauté d'agglomération Grand Auch Cœur de Gascogne;39701;65.9
200066975;Communauté de communes Senlis Sud Oise;24838;122.1
200067023;Communauté de communes Coutances Mer et Bocage;47729;74.2
200067031;Communauté de communes Côte Ouest Centre Manche;22107;45.7
200067049;Communauté de communes Spelunca-Liamone;7723;8.4
200067064;Communauté de communes Decazeville Communauté;18141;96.8
200067072;Communauté de communes Haut-Léon Communauté;31574;128.3
200067080;Communauté de communes Chablis Villages et Terroirs;14598;24.7
200067106;Communauté d'agglomération du Pays Basque;321963;108.5
200067114;Communauté d'agglomération de l'Auxerrois;67663;155.9
200067122;Communauté de communes du Pays de Lafrançaise;11206;50.7
200067130;Communauté de communes de Puisaye-Forterre;33640;19.2
200067155;Communauté de communes Saint Affricain, Roquefort, Sept Vallons;13559;31.4
200067163;Communauté de communes Monts, Rance et Rougier;6286;9.6
200067171;Communauté de communes Aubrac, Carladez et Viadène;10004;11.6
200067189;Creuse Sud Ouest;13478;14.8
200067197;Communauté de communes Monts d'Arrée Communauté;7684;19.5
200067205;Communauté d'agglomération du Cotentin;178020;123.7
200067213;Communauté urbaine du Grand Reims;297068;207.4
200067239;Communauté de communes des Luys en Béarn;29061;55.6
200067247;Communauté de communes Pleyben-Châteaulin-Porzay;22768;53.3
200067254;Communauté d'agglomération Pau Béarn Pyrénées;164785;479.6
200067262;Communauté de communes du Haut Béarn;32007;30
200067288;Communauté de communes du Béarn des Gaves;17413;39.4
200067296;Communauté de communes du Nord Est Béarn;34658;59.8
200067304;Communauté de communes Serein et Armance;23499;50
200067320;Communauté de communes Serre-Ponçon Val d'Avance;7813;31.9
200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;67935;130.1
200067361;Communauté de communes Grand-Figeac;43818;34.2
200067379;Communauté de communes Côtes de Champagne et Val de Saulx;11433;25.4
200067429;Communauté de communes Haut Nivernais-Val d'Yonne;11816;23.6
200067437;Communauté d'agglomération Provence-Alpes-Agglomération;48136;30.6
200067445;Communauté de communes Buëch-Dévoluy;9545;13.3
200067452;Communauté de communes du Guillestrois et du Queyras;7909;9.5
